,eqid,evla,evlo,evdp,sta,stla,stlo,dis,mag
114,20091126044700,21.261,104.181,1.000,TTVB,21.466,104.379,30.6091414137,4.0
115,20091126044700,21.261,104.181,1.000,LSVB,21.853,106.749,273.945878479,4.0
116,20091126044700,21.261,104.181,1.000,TGVB,21.592,103.418,87.1793071438,4.0
117,20091126044700,21.261,104.181,1.000,BGVB,21.290,106.228,212.457198854,4.0
118,20091126044700,21.261,104.181,1.000,HBVB,20.842,105.328,127.920710904,4.0
119,20091126044700,21.261,104.181,1.000,DHVB,21.627,105.184,111.588875624,4.0
120,20091126044700,21.261,104.181,1.000,MCVB,20.833,104.648,67.8347653101,4.0
121,20091126044700,21.261,104.181,1.000,BCVB,21.885,105.772,178.6747629,4.0
122,20091126044700,21.261,104.181,1.000,CCVB,19.057,104.856,253.99430749,4.0
123,20091126044700,21.261,104.181,1.000,THVB,19.845,105.784,229.160962284,4.0
124,20091126044700,21.261,104.181,1.000,CBVB,22.660,106.271,265.699806816,4.0
125,20091126135902,21.313,104.179,9.400,LSVB,21.853,106.749,272.781638893,3.6
126,20091126135902,21.313,104.179,9.400,CCVB,19.057,104.856,259.583736386,3.6
127,20091126135902,21.313,104.179,9.400,TTVB,21.466,104.379,26.7789645808,3.6
128,20091126135902,21.313,104.179,9.400,SLVB,21.330,103.965,22.2813166449,3.6
129,20091126135902,21.313,104.179,9.400,BCVB,21.885,105.772,176.694302935,3.6
130,20091126135902,21.313,104.179,9.400,VTVB,22.252,104.899,127.885570183,3.6
131,20091126135902,21.313,104.179,9.400,DHVB,21.627,105.184,109.808495376,3.6
132,20091126135902,21.313,104.179,9.400,BGVB,21.290,106.228,212.618358537,3.6
133,20091126135902,21.313,104.179,9.400,THVB,19.845,105.784,233.266348647,3.6
134,20091126135902,21.313,104.179,9.400,CBVB,22.660,106.271,262.52279837,3.6
135,20091126135902,21.313,104.179,9.400,SPVB,22.394,103.842,124.663025869,3.6
136,20091126135902,21.313,104.179,9.400,MCVB,20.833,104.648,72.109352864,3.6
137,20091126135902,21.313,104.179,9.400,PLVB,20.805,106.628,260.660111371,3.6
138,20091126135902,21.313,104.179,9.400,HBVB,20.842,105.328,130.290707967,3.6
139,20091126135902,21.313,104.179,9.400,TGVB,21.592,103.418,84.7136886422,3.6
140,20091213190833,22.786,101.231,21.000,TGVB,21.592,103.418,261.424363193,3.5
141,20091213190833,22.786,101.231,21.000,SPVB,22.394,103.842,271.97040703,3.5
142,20100620091844,21.199,101.764,10.000,TTVB,21.466,104.379,272.878520094,3.9
143,20100620091844,21.199,101.764,10.000,TGVB,21.592,103.418,176.942587256,3.9
144,20100620091844,21.199,101.764,10.000,MLVB,22.042,103.154,171.531084309,3.9
145,20100620091844,21.199,101.764,10.000,SPVB,22.394,103.842,252.349364731,3.9
146,20100919085815,20.152,104.736,0.500,CCVB,19.057,104.856,121.867775808,4.3
147,20100919085815,20.152,104.736,0.500,BGVB,21.290,106.228,200.062513584,4.3
148,20100919085815,20.152,104.736,0.500,VTVB,22.252,104.899,233.126522497,4.3
149,20100919085815,20.152,104.736,0.500,MTVB,21.537,106.343,226.902187552,4.3
150,20100919085815,20.152,104.736,0.500,MLVB,22.042,103.154,266.090330204,4.3
151,20100919085815,20.152,104.736,0.500,MCVB,20.833,104.648,75.9506671749,4.3
152,20100919085815,20.152,104.736,0.500,TTVB,21.466,104.379,150.150726163,4.3
153,20100919085815,20.152,104.736,0.500,HBVB,20.842,105.328,98.2293399428,4.3
154,20100919085815,20.152,104.736,0.500,BCVB,21.885,105.772,220.030199229,4.3
155,20100919085815,20.152,104.736,0.500,LSVB,21.853,106.749,281.539999148,4.3
156,20100919085815,20.152,104.736,0.500,THVB,19.845,105.784,114.816166563,4.3
157,20100919085815,20.152,104.736,0.500,PLVB,20.805,106.628,210.207171271,4.3
158,20100919085815,20.152,104.736,0.500,TGVB,21.592,103.418,210.300835104,4.3
159,20100922020907,20.173,104.893,0.000,PLVB,20.805,106.628,194.04700068,4.6
160,20100922020907,20.173,104.893,0.000,LSVB,21.853,106.749,268.000387663,4.6
161,20100922020907,20.173,104.893,0.000,CCVB,19.057,104.856,123.601647817,4.6
162,20100922020907,20.173,104.893,0.000,TGVB,21.592,103.418,219.62490295,4.6
163,20100922020907,20.173,104.893,0.000,TTVB,21.466,104.379,152.825691677,4.6
164,20100922020907,20.173,104.893,0.000,MLVB,22.042,103.154,274.699977763,4.6
165,20100922020907,20.173,104.893,0.000,VTVB,22.252,104.899,230.187495866,4.6
166,20100922020907,20.173,104.893,0.000,BGVB,21.290,106.228,186.082463074,4.6
167,20100922020907,20.173,104.893,0.000,THVB,19.845,105.784,100.056238252,4.6
168,20100922020907,20.173,104.893,0.000,TIYB,21.335,107.389,290.019286935,4.6
169,20100922020907,20.173,104.893,0.000,HBVB,20.842,105.328,86.8587412745,4.6
170,20100922020907,20.173,104.893,0.000,MTVB,21.537,106.343,213.484110855,4.6
171,20100922020907,20.173,104.893,0.000,BCVB,21.885,105.772,210.419922507,4.6
